steps,rewards
106,-92.64797703918572
218,-73.31885967321143
342,-174.94819974011278
424,-100.32935133699269
576,-664.7137154691906
664,-155.42131080294595
755,-398.6502546182397
883,-88.37731699082622
995,-230.81366102509236
1001,-100.96423390448166
1162,-38.63087362226503
1385,-74.7269554411237
1517,-95.81747411483147
1674,-97.45989775737517
1751,-402.0691647955239
1840,-278.59256670877056
2018,-87.23410494947171
2107,-343.3141111560676
2245,-299.21196836829654
2450,-345.0610245585176
2634,-449.8461882925659
2843,-225.06560898667237
2988,-191.02540776938898
3166,-61.833568559366775
3962,-219.2097842359164
4404,-148.18790215138375
5001,-108.59055046316958
5241,-127.11006681277735
5781,-64.08713133203412
6723,-329.3814310711675
7723,-21.048549759282928
8723,-96.64850592803502
9250,-55.07239036212873
